_Language,English,Simplified Chinese,,Language name - in English
GMStdIfVar_Story_10,"If ${var} is not greater than or equal to ${value} on ${applyto}",“如果${var}不大于或等于${applyto}上的${value}”,,dnd story text
GMStdIfVar_Story_11,"If ${var} is equal to ${value}",“如果${var}等于${value}”,,dnd story text
GMStdIfVar_Story_12,"If ${var} is equal to ${value} on ${applyto}",“如果${var}等于${applyto}上的${value}”,,dnd story text
GMStdIfVar_Story_13,"If ${var} is less than ${value}",“如果${var}小于${value}”,,dnd story text
GMStdIfVar_Story_14,"If ${var} is less than ${value} on ${applyto}",“如果${var}在${applyto}上小于${value}”,,dnd story text
GMStdIfVar_Story_15,"If ${var} is greater than ${value}",“如果${var}大于${value}”,,dnd story text
GMStdIfVar_Story_16,"If ${var} is greater than ${value} on ${applyto}",“如果${var}大于${applyto}上的${value}”,,dnd story text
GMStdIfVar_Story_17,"If ${var} is less than or equal to ${value}",“如果${var}小于或等于${value}”,,dnd story text
GMStdIfVar_Story_18,"If ${var} is less than or equal to ${value} on ${applyto}",“如果${var}小于或等于${applyto}上的${value}”,,dnd story text
GMStdIfVar_Story_19,"If ${var} is greater than or equal to ${value}",“如果${var}大于或等于${value}”,,dnd story text
GMStdIfVar_Story_20,"If ${var} is greater than or equal to ${value} on ${applyto}",“如果${var}大于或等于${applyto}上的${value}”,,dnd story text
GMStdIfExpr_Story_1,"If ${expr} is true${show_input_count}",“如果${expr}为真${show_input_count}”,,dnd story text
GMStdIfExpr_Story_2,"If ${expr} is true on ${applyto}${show_input_count}",“如果${applyto}${show_input_count}上的${expr}为true”,,dnd story text
GMStdIfExpr_Story_3,"If ${expr} is false${show_input_count}",“如果${expr}为FALSE${show_input_count}”,,dnd story text
GMStdIfExpr_Story_4,"If ${expr} is false on ${applyto}${show_input_count}",“如果${applyto}${show_input_count}上的${expr}为false”,,dnd story text
GMStdIfUndef_Story_1,"If ${var} is undefined${show_input_count}",“如果${var}未定义${show_input_count}”,,dnd story text
GMStdIfUndef_Story_2,"If ${var} is undefined on ${applyto}${show_input_count}",“如果${applyto}${show_input_count}上的${var}未定义”,,dnd story text
GMStdIfUndef_Story_3,"If ${var} is not undefined${show_input_count}",“如果${var}不是未定义的${show_input_count}”,,dnd story text
GMStdIfUndef_Story_4,"If ${var} is not undefined on ${applyto}${show_input_count}",“如果${applyto}${show_input_count}上的${var}未定义”,,dnd story text
GMStdElse_Story,"Else",“否则”,,dnd story text
GMStdExCode_Story_1,"Execute code",“执行代码”,,dnd story text
GMStdExCode_Story_2,"Execute code on ${applyto}",“在${applyto}上执行代码”,,dnd story text
GMStdExCode_Story_3,"${overridden_name}","${overridden_name}",,dnd story text
GMStdExCode_Story_4,"${overridden_name} on ${applyto}",“${applyto}上的${overriden_name}”,,dnd story text
GMStdExScript_Story_1,"Execute ${script}",“执行${script}”,,dnd story text
GMStdExScript_Story_2,"Execute ${script} on ${applyto}",“在${applyto}上执行${script}”,,dnd story text
GMStdExScript_Story_3,"Execute ${script} with 1 argument",“使用1个参数执行${script}”,,dnd story text
GMStdExScript_Story_4,"Execute ${script} with 1 argument on ${applyto}",“在${applyto}上使用1个参数执行${script}”,,dnd story text
GMStdExScript_Story_5,"Execute ${script} with ${input_count} arguments",“使用${input_count}个参数执行${script}”,,dnd story text
GMStdExScript_Story_6,"Execute ${script} with ${input_count} arguments on ${applyto}",“在${applyto}上使用${input_count}参数执行${script}”,,dnd story text
GMStdExScript_Story_7,"Execute and set ${var} to return value of ${script}",“执行并设置${var}以返回值${script}”,,dnd story text
GMStdExScript_Story_8,"Execute and set ${var} to return value of ${script} on ${applyto}",“执行并设置${var}以在${applyto}上返回值${script}”,,dnd story text
GMStdExScript_Story_9,"Execute and set ${var} to return value of ${script} with 1 argument",“执行并设置${var}以使用1个参数返回值${script}”,,dnd story text
GMStdExScript_Story_10,"Execute and set ${var} to return value of ${script} with 1 argument on ${applyto}",“执行并设置${var}以在${applyto}上使用1个参数返回值${script}”,,dnd story text
GMStdExScript_Story_11,"Execute and set ${var} to return value of ${script} with ${input_count} arguments",“执行并设置${var}以使用${input_count}个参数返回值${script}”,,dnd story text
GMStdExScript_Story_12,"Execute and set ${var} to return value of ${script} with ${input_count} arguments on ${applyto}",“执行并设置${var}以使用${applyto}上的${input_count}参数返回值${script}”,,dnd story text
GMStdExScript_Story_13,"Execute and set temp ${var} to return value of ${script}",“执行并设置临时${var}以返回值${script}”,,dnd story text
GMStdExScript_Story_14,"Execute and set temp ${var} to return value of ${script} on ${applyto}",“执行并设置临时${var}以在${applyto}上返回值${script}”,,dnd story text
GMStdExScript_Story_15,"Execute and set temp ${var} to return value of ${script} with 1 argument",“执行并设置临时${var}以使用1个参数返回值${script}”,,dnd story text
GMStdExScript_Story_16,"Execute and set temp ${var} to return value of ${script} with 1 argument on ${applyto}",“执行并设置临时${var}以在${applyto}上返回值${script}和1个参数”,,dnd story text
GMStdExScript_Story_17,"Execute and set temp ${var} to return value of ${script} with ${input_count} arguments",“执行并设置临时${var}以使用${input_count}个参数返回值${script}”,,dnd story text
GMStdExScript_Story_18,"Execute and set temp ${var} to return value of ${script} with ${input_count} arguments on ${applyto}",“执行临时${var}并将其设置为在${applyto}上使用${input_count}个参数返回值${script}”,,dnd story text
GMStdCallFunction_Story_1,"Call ${function}",“调用${function}”,,dnd story text
GMStdCallFunction_Story_2,"Call ${function} on ${applyto}",“在${applyto}上调用${function}”,,dnd story text
GMStdCallFunction_Story_3,"Call ${function} with 1 argument",“使用1个参数调用${function}”,,dnd story text
GMStdCallFunction_Story_4,"Call ${function} with 1 argument on ${applyto}",“在${applyto}上使用1个参数调用${function}”,,dnd story text
GMStdCallFunction_Story_5,"Call ${function} with ${input_count} arguments",“使用${input_count}个参数调用${function}”,,dnd story text
GMStdCallFunction_Story_6,"Call ${function} with ${input_count} arguments on ${applyto}",“使用${applyto}上的${input_count}参数调用${function}”,,dnd story text
GMStdCallFunction_Story_7,"Set ${var} to return value of ${function}",“将${var}设置为返回值${function}”,,dnd story text
GMStdCallFunction_Story_8,"Set ${var} to return value of ${function} on ${applyto}",“将${var}设置为在${applyto}上返回${function}的值”,,dnd story text
GMStdCallFunction_Story_9,"Set ${var} to return value of ${function} with 1 argument",“设置${var}以使用1个参数返回值${function}”,,dnd story text
GMStdCallFunction_Story_10,"Set ${var} to return value of ${function} with 1 argument on ${applyto}",“将${var}设置为在${applyto}上使用1个参数返回值${function}”,,dnd story text
GMStdCallFunction_Story_11,"Set ${var} to return value of ${function} with ${input_count} arguments",“设置${var}以使用${input_count}参数返回值${function}”,,dnd story text
GMStdCallFunction_Story_12,"Set ${var} to return value of ${function} with ${input_count} arguments on ${applyto}",“设置${var}以使用${applyto}上的${input_count}参数返回值${function}”,,dnd story text
GMStdCallFunction_Story_13,"Set temp ${var} to return value of ${function}",“将临时${var}设置为返回值${function}”,,dnd story text
GMStdCallFunction_Story_14,"Set temp ${var} to return value of ${function} on ${applyto}",“将临时${var}设置为在${applyto}上返回${function}的值”,,dnd story text
GMStdCallFunction_Story_15,"Set temp ${var} to return value of ${function} with 1 argument",“将临时${var}设置为使用1个参数返回值${function}”,,dnd story text
GMStdCallFunction_Story_16,"Set temp ${var} to return value of ${function} with 1 argument on ${applyto}",“将临时${var}设置为在${applyto}上使用1个参数返回值${function}”,,dnd story text
GMStdCallFunction_Story_17,"Set temp ${var} to return value of ${function} with ${input_count} arguments",“将临时${var}设置为使用${input_count}个参数返回值${function}”,,dnd story text
GMStdCallFunction_Story_18,"Set temp ${var} to return value of ${function} with ${input_count} arguments on ${applyto}",“将临时${var}设置为在${applyto}上使用${input_count}个参数返回值${function}”,,dnd story text
GMStdNew_Story_1,"Set ${var} to new instance of ${function}",“将${var}设置为${function}的新实例”,,dnd story text
GMStdNew_Story_2,"Set ${var} to new instance of ${function} with 1 argument",“使用1个参数将${var}设置为${function}的新实例”,,dnd story text
GMStdNew_Story_3,"Set ${var} to new instance of ${function} with ${input_count} arguments",“使用${input_count}个参数将${var}设置为${function}的新实例”,,dnd story text
GMStdNew_Story_4,"Set temp ${var} to new instance of ${function}",“将临时${var}设置为${function}的新实例”,,dnd story text
GMStdNew_Story_5,"Set temp ${var} to new instance of ${function} with 1 argument",“使用1个参数将临时${var}设置为${function}的新实例”,,dnd story text
GMStdNew_Story_6,"Set temp ${var} to new instance of ${function} with ${input_count} arguments",“使用${input_count}个参数将临时${var}设置为${function}的新实例”,,dnd story text
GMStdRet_Story_1,"Return ${value}",“返回${value}”,,dnd story text
GMStdRet_Story_2,"Return ${value} on ${applyto}",“在${applyto}上返回${value}”,,dnd story text
GMStdApplyTo_Story_1,"Apply to ${applyto}",“应用于${applyto}”,,dnd story text
GMStdMacro_Story_1,"Define macro ${macro} as ${value}${show_input_count}",“将宏${MACRO}定义为${VALUE}${show_input_count}”,,dnd story text
GMStdMacro_Story_2,"Define macro ${macro} as ${value} on ${applyto}${show_input_count}",“在${applyto}${show_input_count}上将宏${MACRO}定义为${VALUE}”,,dnd story text
GMStdExit_Story,"Exit the current event",“退出当前事件”,,dnd story text
GMStdInstCreate_Story_1,"Create ${objectid} at ${dnd_pos}",“在${dnd_pos}创建${objectID}”,,dnd story text
GMStdInstCreate_Story_2,"Create ${objectid} at ${dnd_pos} on ${applyto}",“在${applyto}上的${dnd_pos}创建${objectID}”,,dnd story text
GMStdInstCreate_Story_3,"Create ${objectid} at ${dnd_pos} into ${var}",“在${dnd_pos}将${objectID}创建到${var}”,,dnd story text
GMStdInstCreate_Story_4,"Create ${objectid} at ${dnd_pos} into ${var} on ${applyto}",“将位于${dnd_pos}的${objectID}创建到${applyto}上的${var}”,,dnd story text
GMStdInstCreate_Story_5,"Create ${objectid} at ${dnd_pos} into temp ${var}",“在${dnd_pos}将${objectID}创建到临时${var}”,,dnd story text
GMStdInstCreate_Story_6,"Create ${objectid} at ${dnd_pos} into temp ${var} on ${applyto}",“在${applyto}上的临时${var}中创建位于${dnd_pos}的${objectID}”,,dnd story text
GMStdInstDestroy_Story_1,"Destroy this instance",“销毁此实例”,,dnd story text
GMStdInstDestroy_Story_2,"Destroy ${applyto} on ${applyto}",“销毁${applyto}上的${applyto}”,,dnd story text
GMStdDestroyAtPos_Story_1,"Destroy instances at ${dnd_pos}",“销毁${dnd_pos}处的实例”,,dnd story text
GMStdDestroyAtPos_Story_2,"Destroy instances at ${dnd_pos} on ${applyto}",“销毁${applyto}上${dnd_pos}处的实例”,,dnd story text
GMStdInstChange_Story_1,"Change into ${objind}",“更改为${objind}”,,dnd story text
GMStdInstChange_Story_2,"Change ${applyto} into ${objind} on ${applyto}",“在${applyto}上将${applyto}更改为${objind}”,,dnd story text
GMStdSetAlarm_Story_1,"Set alarm ${alarm} to ${steps}${show_input_count}",“将报警${Alarm}设置为${step}${show_input_count}”,,dnd story text
GMStdSetAlarm_Story_2,"Set alarm ${alarm} to ${steps} on ${applyto}${show_input_count}",“在${applyto}${show_input_count}上将报警${ALARM}设置为${STEPS}”,,dnd story text
GMStdSetAlarm_Story_3,"Add ${steps} to alarm ${alarm}${show_input_count}",“将${Steps}添加到警报${Alarm}${show_input_count}”,,dnd story text
GMStdSetAlarm_Story_4,"Add ${steps} to alarm ${alarm} on ${applyto}${show_input_count}",“将${step}添加到${applyto}${show_input_count}上的警报${Alarm}”,,dnd story text
GMStdGetAlarm_Story_1,"Get alarm ${alarm} into ${var}",“将警报${Alarm}获取到${var}”,,dnd story text
GMStdGetAlarm_Story_2,"Get alarm ${alarm} into ${var} on ${applyto}",“将警报${Alarm}获取到${applyto}上的${var}”,,dnd story text
GMStdGetAlarm_Story_3,"Get alarm ${alarm} into temp ${var}",“将警报${Alarm}放入临时${var}”,,dnd story text
GMStdGetAlarm_Story_4,"Get alarm ${alarm} into temp ${var} on ${applyto}",“将警报${Alarm}置于${applyto}上的临时${var}”,,dnd story text
GMStdInstCount_Story_1,"Get ${object} count into ${var}",“将${object}计入${var}”,,dnd story text
GMStdInstCount_Story_2,"Get ${object} count into ${var} on ${applyto}",“在${applyto}上将${object}计入${var}”,,dnd story text
GMStdInstCount_Story_3,"Get ${object} count into temp ${var}",“将${object}计数到临时${var}”,,dnd story text
GMStdInstCount_Story_4,"Get ${object} count into temp ${var} on ${applyto}",“将${object}计入${applyto}上的临时${var}”,,dnd story text
GMStdCallUserEvent_Story_1,"Call user event ${event}${show_input_count}",“调用用户事件${event}${show_input_count}”,,dnd story text
GMStdCallUserEvent_Story_2,"Call user event ${event} on ${applyto}${show_input_count}",“在${applyto}${show_input_count}上调用用户事件${event}”,,dnd story text
GMStdSetInstanceVar_Story_1,"Set instance variable ${dnd_set_inst_vars} to ${value}${show_input_count}",“将实例变量${dnd_set_inst_vars}设置为${value}${show_input_count}”,,dnd story text
GMStdSetInstanceVar_Story_2,"Set instance variable ${dnd_set_inst_vars} to ${value} on ${applyto}${show_input_count}",“在${applyto}${show_input_count}上将实例变量${dnd_set_inst_vars}设置为${value}”,,dnd story text
GMStdGetInstanceVar_Story_1,"Get instance variable ${dnd_get_inst_vars} into ${target}${show_input_count}",“将实例变量${dnd_get_inst_vars}获取到${target}${show_input_count}”,,dnd story text
GMStdGetInstanceVar_Story_2,"Get instance variable ${dnd_get_inst_vars} into ${target} on ${applyto}${show_input_count}",“将实例变量${dnd_get_inst_vars}获取到${applyto}${show_input_count}上的${target}”,,dnd story text
GMStdGetInstanceVar_Story_3,"Get instance variable ${dnd_get_inst_vars} into temp ${target}${show_input_count}",“将实例变量${dnd_get_inst_vars}获取到临时${target}${show_input_count}”,,dnd story text
GMStdGetInstanceVar_Story_4,"Get instance variable ${dnd_get_inst_vars} into temp ${target} on ${applyto}${show_input_count}",“将实例变量${dnd_get_inst_vars}获取到${applyto}${show_input_count}上的临时${target}”,,dnd story text
GMStdSetSprite_Story_1,"Set sprite to ${spriteind} at frame ${imageind}",“在第${imageind}帧中将精灵设置为${spriteind}”,,dnd story text
GMStdSetSprite_Story_2,"Set sprite to ${spriteind} at frame ${imageind} on ${applyto}",“将${applyto}上第${imageind}帧的精灵设置为${spriteind}”,,dnd story text
GMStdRotSprite_Story_1,"Set rotation to ${angle}",“将旋转设置为${angle}”,,dnd story text
GMStdRotSprite_Story_2,"Set rotation to ${angle} on ${applyto}",“在${applyto}上将旋转设置为${angle}”,,dnd story text
GMStdRotSprite_Story_3,"Add ${angle} to rotation",“将${angle}添加到循环”,,dnd story text
GMStdRotSprite_Story_4,"Add ${angle} to rotation on ${applyto}",“将${angle}添加到${applyto}上的循环”,,dnd story text
GMStdSpriteAnimSpd_Story_1,"Set animation speed to ${speed}",“将动画速度设置为${SPEED}”,,dnd story text
GMStdSpriteAnimSpd_Story_2,"Set animation speed to ${speed} on ${applyto}",“在${applyto}上将动画速度设置为${SPEED}”,,dnd story text
GMStdSpriteAnimSpd_Story_3,"Add ${speed} to animation speed",“将${SPEED}添加到动画速度”,,dnd story text
GMStdSpriteAnimSpd_Story_4,"Add ${speed} to animation speed on ${applyto}",“将${SPEED}添加到${applyto}上的动画速度”,,dnd story text
GMStdSpriteScale_Story_1,"Scale to ${xscale},${yscale}",“缩放至${xScale}、${yscale}”,,dnd story text
GMStdSpriteScale_Story_2,"Scale to ${xscale},image_yscale",“缩放至${XScale}，image_yscale”,,dnd story text
GMStdSpriteScale_Story_3,"Scale to ${xscale},image_yscale+${yscale}",“缩放至${XScale}，image_yscale+${yscale}”,,dnd story text
GMStdSpriteScale_Story_4,"Scale to image_xscale,${yscale}",“缩放至image_xscale，${yscale}”,,dnd story text
GMStdSpriteScale_Story_5,"Scale to image_xscale,image_yscale",“缩放至image_xscale、image_yscale”,,dnd story text
GMStdSpriteScale_Story_6,"Scale to image_xscale,image_yscale+${yscale}",“缩放至image_xscale，image_yscale+${yscale}”,,dnd story text
GMStdSpriteScale_Story_7,"Scale to image_xscale+${xscale},${yscale}",“缩放至image_xScale+${xScale}，${yscale}”,,dnd story text
GMStdSpriteScale_Story_8,"Scale to image_xscale+${xscale},image_yscale",“缩放至image_xScale+${xScale}，image_yscale”,,dnd story text
GMStdSpriteScale_Story_9,"Scale to image_xscale+${xscale},image_yscale+${yscale}",”缩放至image_xscale+${xscale}、image_yscale+${yscale}“,,dnd story text
GMStdSpriteScale_Story_10,"Scale ${applyto} to ${xscale},${yscale} on ${applyto}",”将${applyto}上的${applyto}缩放到${XScale}、${yscale}“,,dnd story text
GMStdSpriteScale_Story_11,"Scale ${applyto} to ${xscale},image_yscale on ${applyto}",”将${applyto}缩放到${XScale}，${applyto}上的image_yscale“,,dnd story text
GMStdSpriteScale_Story_12,"Scale ${applyto} to ${xscale},image_yscale+${yscale} on ${applyto}",”将${applyto}缩放到${xScale}，${applyto}上的image_yscale+${yscale}“,,dnd story text
GMStdSpriteScale_Story_13,"Scale ${applyto} to image_xscale,${yscale} on ${applyto}",”将${applyto}缩放到${applyto}上的image_XScale，${yscale}“,,dnd story text
GMStdSpriteScale_Story_14,"Scale ${applyto} to image_xscale,image_yscale on ${applyto}",”将${applyto}缩放到${applyto}上的image_xscale、image_yscale“,,dnd story text
GMStdSpriteScale_Story_15,"Scale ${applyto} to image_xscale,image_yscale+${yscale} on ${applyto}",”将${applyto}缩放到${applyto}上的image_xscale、image_yscale+${yscale}“,,dnd story text
GMStdSpriteScale_Story_16,"Scale ${applyto} to image_xscale+${xscale},${yscale} on ${applyto}",“将${applyto}缩放到${applyto}上的image_XScale+${XScale}，${yscale}”,,dnd story text
GMStdSpriteScale_Story_17,"Scale ${applyto} to image_xscale+${xscale},image_yscale on ${applyto}",”将${applyto}缩放到${applyto}上的image_xscale+${xscale}、image_yscale“,,dnd story text
GMStdSpriteScale_Story_18,"Scale ${applyto} to image_xscale+${xscale},image_yscale+${yscale} on ${applyto}",”将${applyto}缩放到${applyto}上的image_xscale+${xscale}、image_yscale+${yscale}“,,dnd story text
GMStdSpriteAlpha_Story_1,"Set alpha to ${alpha}",“将Alpha设置为${Alpha}”,,dnd story text
GMStdSpriteAlpha_Story_2,"Set alpha to ${alpha} on ${applyto}",“在${applyto}上将Alpha设置为${alpha}”,,dnd story text
GMStdSpriteAlpha_Story_3,"Add ${alpha} to alpha",“将${alpha}添加到alpha”,,dnd story text
GMStdSpriteAlpha_Story_4,"Add ${alpha} to alpha on ${applyto}",“将${alpha}添加到${applyto}上的Alpha”,,dnd story text
GMStdSpriteColor_Story_1,"Set sprite blend colour to ${colour}",“将精灵混合颜色设置为${color}”,,dnd story text
GMStdSpriteColor_Story_2,"Set sprite blend colour to ${colour} on ${applyto}",“在${applyto}上将子画面混合颜色设置为${color}”,,dnd story text
GMStdInstExists_Story_1,"Check if ${obj} does not exist",“检查${obj}是否不存在”,,dnd story text
GMStdInstExists_Story_2,"Check if ${obj} does not exist on ${applyto}",“检查${applyto}上是否不存在${obj}”,,dnd story text
GMStdInstExists_Story_3,"Check if ${obj} exists",“检查${obj}是否存在”,,dnd story text
GMStdInstExists_Story_4,"Check if ${obj} exists on ${applyto}",“检查${applyto}上是否存在${obj}”,,dnd story text
GMStdInheritEvent_Story_1,"Call parent event",“调用父事件”,,dnd story text
GMStdInheritEvent_Story_2,"Call parent event on ${applyto}",“调用${applyto}上的父事件”,,dnd story text
GMStdIfSequenceExists_Story_1,"If sequence ${obj} exists",“如果序列${obj}存在”,,dnd story text
GMStdIfSequenceExists_Story_2,"If sequence ${obj} does not exists",“如果序列${obj}不存在”,,dnd story text
GMStdSeqDestroy_Story_1,"Destroy sequence ${var}",“销毁序列${var}”,,dnd story text
GMStdSeqPlay_Story_1,"Play sequence ${var}",“播放序列${var}”,,dnd story text
GMStdSeqPause_Story_1,"Pause sequence ${var}",“暂停序列${var}”,,dnd story text
GMStdSeqSetPos_Story_1,"Set position of sequence instance ${sequenceelmid} to ${dnd_pos}",“将序列实例${Sequenceelmid}的位置设置为${DND_POS}”,,dnd story text
GMStdSeqCreate_Story_1,"Create ${sequenceid} at ${dnd_pos}",“在${dnd_pos}创建${Sequenceid}”,,dnd story text
GMStdSeqCreate_Story_2,"Create ${sequenceid} at ${dnd_pos} on ${applyto}",“在${applyto}上的${dnd_pos}创建${Sequenceid}”,,dnd story text
GMStdSeqCreate_Story_3,"Create ${sequenceid} at ${dnd_pos} into ${var}",“在${dnd_pos}将${equenceid}创建到${var}”,,dnd story text
GMStdSeqCreate_Story_4,"Create ${sequenceid} at ${dnd_pos} into ${var} on ${applyto}",“在${applyto}上的${var}中创建${Sequenceid}，位置为${dnd_pos}”,,dnd story text
GMStdSeqCreate_Story_5,"Create ${sequenceid} at ${dnd_pos} into temp ${var}",“在${dnd_pos}将${equenceid}创建到临时${var}”,,dnd story text
GMStdSeqCreate_Story_6,"Create ${sequenceid} at ${dnd_pos} into temp ${var} on ${applyto}",“在${applyto}上的临时${var}中创建${Sequenceid}，位置为${dnd_pos}”,,dnd story text
GMStdSeqGetPos_Story_1,"Get position of sequence instance ${sequenceelmid} into ${varx} and ${vary}",“将序列实例${Sequenceelmid}的位置获取到${varx}和${Varie}中”,,dnd story text
GMStdSeqGetPos_Story_2,"Get position of sequence instance ${sequenceelmid} into temp ${varx} and ${vary}",“将序列实例${Sequenceelmid}的位置获取到临时${varx}和${Varie}中”,,dnd story text
GMStdSeqGetPos_Story_3,"Get position of sequence instance ${sequenceelmid} into ${varx} and temp ${vary}",“将序列实例${equenceelmid}的位置获取到${varx}和Temp${Varie}中”,,dnd story text
GMStdSeqGetPos_Story_4,"Get position of sequence instance ${sequenceelmid} into temp ${varx} and temp ${vary}",“将序列实例${Sequenceelmid}的位置获取到临时${varx}和临时${Varie}中”,,dnd story text
GMStdSeqGetLength_Story_1,"Get length of sequence instance ${sequenceelmid} into ${var}",“将序列实例${sequenceelmid}的长度获取到${var}”,,dnd story text
GMStdSeqGetLength_Story_2,"Get length of sequence instance ${sequenceelmid} into temp ${var}",“将序列实例${sequenceelmid}的长度获取到临时${var}”,,dnd story text
GMStdIfMousePressed_Story_1,"If mouse button ${button} is pressed",“如果按下鼠标按钮${BUTTON}”,,dnd story text
GMStdIfMousePressed_Story_2,"If mouse button ${button} is pressed on ${applyto}",“如果在${applyto}上按下鼠标按钮${button}”,,dnd story text
GMStdIfMousePressed_Story_3,"If mouse button ${button} is not pressed",“如果未按下鼠标按钮${BUTTON}”,,dnd story text
GMStdIfMousePressed_Story_4,"If mouse button ${button} is not pressed on ${applyto}",“如果在${applyto}上未按下鼠标按钮${button}”,,dnd story text
GMStdIfMouseDown_Story_1,"If mouse button ${button} is down",“如果鼠标按键${BUTTON}按下”,,dnd story text
GMStdIfMouseDown_Story_2,"If mouse button ${button} is down on ${applyto}",“如果鼠标按钮${button}在${applyto}上按下”,,dnd story text
GMStdIfMouseDown_Story_3,"If mouse button ${button} is not down",“如果鼠标按钮${BUTTON}未按下”,,dnd story text
GMStdIfMouseDown_Story_4,"If mouse button ${button} is not down on ${applyto}",“如果${applyto}上的鼠标按钮${button}未按下”,,dnd story text
GMStdIfMouseUp_Story_1,"If mouse button ${button} is released",“如果释放鼠标按钮${BUTTON}”,,dnd story text
GMStdIfMouseUp_Story_2,"If mouse button ${button} is released on ${applyto}",“如果在${applyto}上释放鼠标按钮${button}”,,dnd story text
GMStdIfMouseUp_Story_3,"If mouse button ${button} is not released",“如果未释放鼠标按钮${BUTTON}”,,dnd story text
GMStdIfMouseUp_Story_4,"If mouse button ${button} is not released on ${applyto}",“如果在${applyto}上未释放鼠标按钮${button}”,,dnd story text
GMStdIfKeyPressed_Story_1,"If ${key} is pressed",“如果按下${key}”,,dnd story text
